Name,Price,Category,Shop,Link
Woolworths Cream Fresh,$ 3 86,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=282770&name=woolworths-cream-fresh
Paseo Tissues Pure White,$ 3 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=208436&name=paseo-tissues-pure-white
Wither Hills Sauvignon Blanc,$ 16 49,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=901312&name=wither-hills-sauvignon-blanc
Freyas Toast Bread Tuscan Mixed Grain,$ 4 19,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=275514&name=freyas-toast-bread-tuscan-mixed-grain
Woolworths Free From Gluten Hot Cross Buns Traditional Fruit,$ 8 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=58971&name=woolworths-free-from-gluten-hot-cross-buns-traditional-fruit
Fresh Fruit Bananas Yellow,$ 3 70 kg,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=133211&name=fresh-fruit-bananas-yellow
Ocean Blue Smoked Salmon Hot Smoked Natural,$ 16 00,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=792728&name=ocean-blue-smoked-salmon-hot-smoked-natural
Woolworths NZ Chicken Breast Skinless Boneless 0.8-1.3kg 2-3pcs,$ 13 90 kg,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=73034&name=woolworths-nz-chicken-breast-skinless-boneless
Woolworths Frozen Chopped Spinach,$ 3 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=897169&name=woolworths-frozen-chopped-spinach
Woolworths Cheese Edam,$ 10 19,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=281809&name=woolworths-cheese-edam
Shine 10 In 1 Dishwasher Tablets Lemon,$ 6 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=183866&name=shine-10-in-1-dishwasher-tablets-lemon
Jacobs Creek Reserve Sparkling Prosecco,$ 13 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=970638&name=jacobs-creek-reserve-sparkling-prosecco
